pgNo,startX,startY,endX,endY,w,h,fntSize,txtColor,txtFnt,pgW,pgH,topMargin,bottomMargin,leftMargin,rightMargin,lSize,lnNo,lWhiteSpaces,wordPosition,left_startX,left_startY,left_endX,left_endY,left_w,left_h,left_fntSize,left_txtColor,left_txtFnt,left_topMargin,left_bottomMargin,left_leftMargin,left_rightMargin,left_wordPosition,left_txt,right_startX,right_startY,right_endX,right_endY,right_w,right_h,right_fntSize,right_txtColor,right_txtFnt,right_topMargin,right_bottomMargin,right_leftMargin,right_rightMargin,right_wordPosition,right_txt,bottom_startX,bottom_startY,bottom_endX,bottom_endY,bottom_w,bottom_h,bottom_fntSize,bottom_txtColor,bottom_txtFnt,bottom_topMargin,bottom_bottomMargin,bottom_leftMargin,bottom_rightMargin,bottom_wordPosition,bottom_txt,top_startX,top_startY,top_endX,top_endY,top_w,top_h,top_fntSize,top_txtColor,top_txtFnt,top_topMargin,top_bottomMargin,top_leftMargin,top_rightMargin,top_wordPosition,top_txt,txt
1,74.85,69.78,158.84,80.26,83.99,10.48,14.68319988,-16777216,BookmanOldStyle-Bold,612,792,69.78,711.74,74.85,453.16,48,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.85,69.78,175.59,80.26,11.74,10.48,14.68319988,-16777216,BookmanOldStyle-Bold,69.78,711.74,163.85,436.41,2,&,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALSECURE
1,163.85,69.78,175.59,80.26,11.74,10.48,14.68319988,-16777216,BookmanOldStyle-Bold,612,792,69.78,711.74,163.85,436.41,48,1,6,2,74.85,69.78,158.84,80.26,83.99,10.48,14.68319988,-16777216,BookmanOldStyle-Bold,69.78,711.74,74.85,453.16,1,ALSECURE,180.53,69.78,283.82,80.26,103.29,10.48,14.68319988,-16777216,BookmanOldStyle-Bold,69.78,711.74,180.53,328.18,3,PROTECTION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,&
1,180.53,69.78,283.82,80.26,103.29,10.48,14.68319988,-16777216,BookmanOldStyle-Bold,612,792,69.78,711.74,180.53,328.18,48,1,6,3,163.85,69.78,175.59,80.26,11.74,10.48,14.68319988,-16777216,BookmanOldStyle-Bold,69.78,711.74,163.85,436.41,2,&,288.77,69.78,368.1,80.26,79.33,10.48,14.68319988,-16777216,BookmanOldStyle-Bold,69.78,711.74,288.77,243.9,4,SERVICES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PROTECTION
1,288.77,69.78,368.1,80.26,79.33,10.48,14.68319988,-16777216,BookmanOldStyle-Bold,612,792,69.78,711.74,288.77,243.9,48,1,6,4,180.53,69.78,283.82,80.26,103.29,10.48,14.68319988,-16777216,BookmanOldStyle-Bold,69.78,711.74,180.53,328.18,3,PROTECTION,378.07,69.78,432.12,80.26,54.05,10.48,14.68319988,-16777216,BookmanOldStyle-Bold,69.78,711.74,378.07,179.88,5,(INDIA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SERVICES
1,378.07,69.78,432.12,80.26,54.05,10.48,14.68319988,-16777216,BookmanOldStyle-Bold,612,792,69.78,711.74,378.07,179.88,48,1,6,5,288.77,69.78,368.1,80.26,79.33,10.48,14.68319988,-16777216,BookmanOldStyle-Bold,69.78,711.74,288.77,243.9,4,SERVICES,437.14,69.78,472.7,80.26,35.56,10.48,14.68319988,-16777216,BookmanOldStyle-Bold,69.78,711.74,437.14,139.3,6,PVT.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(INDIA)
1,437.14,69.78,472.7,80.26,35.56,10.48,14.68319988,-16777216,BookmanOldStyle-Bold,612,792,69.78,711.74,437.14,139.3,48,1,6,6,378.07,69.78,432.12,80.26,54.05,10.48,14.68319988,-16777216,BookmanOldStyle-Bold,69.78,711.74,378.07,179.88,5,(INDIA),477.66,69.78,513.79,80.26,36.13,10.48,14.68319988,-16777216,BookmanOldStyle-Bold,69.78,711.74,477.66,98.21,7,LTD.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PVT.
1,477.66,69.78,513.79,80.26,36.13,10.48,14.68319988,-16777216,BookmanOldStyle-Bold,612,792,69.78,711.74,477.66,98.21,48,1,6,7,437.14,69.78,472.7,80.26,35.56,10.48,14.68319988,-16777216,BookmanOldStyle-Bold,69.78,711.74,437.14,139.3,6,PVT.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LTD.
1,183.04,86.07,205.99,93.95,22.95,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,612,792,86.07,698.05,183.04,406.01,46,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.75,86.07,228.51,93.95,18.76,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,86.07,698.05,209.75,383.49,2,No.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plot
1,209.75,86.07,228.51,93.95,18.76,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,612,792,86.07,698.05,209.75,383.49,46,2,7,2,183.04,86.07,205.99,93.95,22.95,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,86.07,698.05,183.04,406.01,1,Plot,232.26,86.07,282.57,93.95,50.31,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,86.07,698.05,232.26,329.43,3,631/115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No.
1,232.26,86.07,282.57,93.95,50.31,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,612,792,86.07,698.05,232.26,329.43,46,2,7,3,209.75,86.07,228.51,93.95,18.76,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,86.07,698.05,209.75,383.49,2,No.,286.33,86.07,332.23,93.95,45.9,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,86.07,698.05,286.33,279.77,4,Anjanee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,631/115
